epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.571,2.59437,6.25948,1.34855,0.00327,0.75,0.00389,0.00047,3.43159,4.04693,2.00418,0,0,0
2,2.026,2.59243,6.79526,1.2706,0.00332,0.75,0.00369,0.00045,3.43703,4.03336,2.0094,1.63399e-05,1.63399e-05,1.63399e-05
3,2.373,2.84796,6.068,1.41623,0.00332,0.75,0.00366,0.00044,3.43001,4.05348,2.002,3.20197e-05,3.20197e-05,3.20197e-05
4,2.693,2.27164,5.63765,1.20776,0.00341,0.75,0.00354,0.00044,3.43375,4.03924,1.99129,4.70394e-05,4.70394e-05,4.70394e-05
5,2.94,2.99189,6.49154,1.55923,0.00343,0.75,0.00384,0.00047,3.42127,4.05712,1.9817,6.13989e-05,6.13989e-05,6.13989e-05
6,3.154,2.54453,6.60492,1.35946,0.00346,0.75,0.00372,0.00045,3.40718,4.07581,1.96354,7.50984e-05,7.50984e-05,7.50984e-05
7,3.365,3.16382,8.74997,1.58359,0.00346,0.75,0.00358,0.00044,3.33783,4.13857,1.91428,8.81376e-05,8.81376e-05,8.81376e-05
8,3.583,2.66077,6.6594,1.3706,0.00351,0.75,0.00329,0.0004,3.27093,4.17469,1.86585,0.000100517,0.000100517,0.000100517
9,3.85771,2.40569,5.85047,1.40893,0.00372,0.75,0.00468,0.00057,3.33928,4.11134,1.90905,0.000112236,0.000112236,0.000112236
10,4.21811,2.35188,4.71031,1.30672,0.00263,0.5,0.00381,0.00038,2.82815,4.23605,1.69692,0.000123295,0.000123295,0.000123295
11,4.59584,1.94583,4.54367,1.06647,0.00281,0.5,0.0043,0.0027,1.96226,4.26638,1.33059,0.000133693,0.000133693,0.000133693
12,4.89202,1.6582,4.14775,1.05097,0.00577,1,0.25465,0.03341,1.28034,3.7541,0.94955,0.000143432,0.000143432,0.000143432
13,5.18456,1.45055,3.66015,0.9797,0.00592,1,0.50092,0.08141,0.90207,3.67859,0.86835,0.00015251,0.00015251,0.00015251
14,5.51087,1.35144,4.17322,0.97226,0.0061,1,0.68541,0.14917,0.88411,3.60623,0.84852,0.000160929,0.000160929,0.000160929
