epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,5.80427,1.69497,2.85317,0.97295,0.00615,1,0.62283,0.19212,0.91949,3.54576,0.84537,0.000168687,0.000168687,0.000168687
16,6.10229,1.54225,2.68259,0.92156,0.00625,1,0.995,0.35057,0.99904,3.47483,0.84601,0.000175785,0.000175785,0.000175785
17,6.40162,1.45044,2.58727,0.92399,0.00651,1,0.995,0.37528,1.12874,3.45199,0.85797,0.000182223,0.000182223,0.000182223
18,6.67569,1.23371,2.8677,0.82889,0.00651,1,0.995,0.37528,1.12874,3.45199,0.85797,0.000188001,0.000188001,0.000188001
19,7.03309,1.28241,2.12672,0.86556,0.00645,1,0.995,0.41197,1.36457,3.42741,0.86191,0.000193119,0.000193119,0.000193119
20,7.32951,1.14287,1.68542,0.89178,0.00645,1,0.995,0.41197,1.36457,3.42741,0.86191,0.000197576,0.000197576,0.000197576
21,7.66316,1.3958,1.73201,0.97951,0.00708,1,0.995,0.40859,1.51867,3.38537,0.86578,0.000201374,0.000201374,0.000201374
22,7.97141,1.12689,2.10282,0.94364,0.00708,1,0.995,0.40859,1.51867,3.38537,0.86578,0.000204511,0.000204511,0.000204511
23,8.29877,1.31409,1.90826,0.9709,0.00753,1,0.995,0.38375,1.41301,3.4002,0.85406,0.000206988,0.000206988,0.000206988
24,8.5708,1.27067,1.98564,0.95591,0.00753,1,0.995,0.38375,1.41301,3.4002,0.85406,0.000208805,0.000208805,0.000208805
25,8.89992,1.31252,1.96842,0.99331,0.00792,1,0.995,0.35292,1.0863,3.40673,0.83269,0.000209962,0.000209962,0.000209962
26,9.17323,1.25183,2.04501,0.95843,0.00792,1,0.995,0.35292,1.0863,3.40673,0.83269,0.000210459,0.000210459,0.000210459
27,9.48683,1.34143,1.92346,0.97373,0.00808,1,0.995,0.32222,0.83749,3.40049,0.80837,0.000210295,0.000210295,0.000210295
28,9.76084,1.14692,2.5315,0.96495,0.00808,1,0.995,0.32222,0.83749,3.40049,0.80837,0.000209472,0.000209472,0.000209472
29,10.1213,1.33884,1.72685,0.96308,0.00816,1,0.945,0.29321,0.79699,3.37343,0.80784,0.000207988,0.000207988,0.000207988
30,10.4315,1.05611,1.93039,0.85263,0.00816,1,0.945,0.29321,0.79699,3.37343,0.80784,0.000205844,0.000205844,0.000205844
31,10.7642,1.15359,2.06175,0.91607,0.00813,1,0.24875,0.07565,0.77532,3.3585,0.82795,0.000203041,0.000203041,0.000203041
32,11.0577,1.25629,1.74963,1.02779,0.00813,1,0.24875,0.07565,0.77532,3.3585,0.82795,0.000199577,0.000199577,0.000199577
33,11.4174,1.0034,3.61646,0.95474,0.00803,1,0.14741,0.04252,0.73767,3.37355,0.8383,0.000195452,0.000195452,0.000195452
34,11.6984,1.19434,1.66147,0.90717,0.00803,1,0.14741,0.04252,0.73767,3.37355,0.8383,0.000190668,0.000190668,0.000190668
35,12.0192,1.11329,1.56467,0.90054,0.00755,1,0.07509,0.02293,0.77708,3.3558,0.84399,0.000185224,0.000185224,0.000185224
36,12.2981,1.02023,1.81839,0.9014,0.00755,1,0.07509,0.02293,0.77708,3.3558,0.84399,0.000179119,0.000179119,0.000179119
37,12.5821,1.34204,1.85325,0.99805,0.00723,1,0.04234,0.01512,0.77532,3.34867,0.84747,0.000172354,0.000172354,0.000172354
38,12.8694,1.1458,1.42902,0.96878,0.00723,1,0.04234,0.01512,0.77532,3.34867,0.84747,0.00016493,0.00016493,0.00016493
39,13.1875,1.3023,1.45551,1.02684,0.00707,1,0.02813,0.01217,0.73959,3.30986,0.82617,0.000156845,0.000156845,0.000156845
40,13.4966,1.18263,1.3624,0.89605,0.00707,1,0.02813,0.01217,0.73959,3.30986,0.82617,0.0001481,0.0001481,0.0001481
41,17.1241,0.94395,2.19305,0.91913,0.00704,1,0.02182,0.01028,0.68203,3.28238,0.82069,0.000138694,0.000138694,0.000138694
42,17.4951,1.02058,2.10781,0.86971,0.00704,1,0.02182,0.01028,0.68203,3.28238,0.82069,0.000128629,0.000128629,0.000128629
43,17.8115,1.2543,2.28647,0.93325,0.00702,1,0.0321,0.01117,0.64795,3.27966,0.81857,0.000117904,0.000117904,0.000117904
44,18.0649,1.02504,2.16757,0.92885,0.00702,1,0.0321,0.01117,0.64795,3.27966,0.81857,0.000106518,0.000106518,0.000106518
45,18.3359,0.96108,2.24134,0.99086,0.0071,1,0.03618,0.01269,0.63062,3.27069,0.82657,9.44722e-05,9.44722e-05,9.44722e-05
46,18.6019,1.19064,2.35587,0.96571,0.0071,1,0.03618,0.01269,0.63062,3.27069,0.82657,8.17663e-05,8.17663e-05,8.17663e-05
47,18.914,1.18615,2.22532,0.91495,0.00721,1,0.03685,0.01329,0.63412,3.2681,0.82959,6.84003e-05,6.84003e-05,6.84003e-05
48,19.1709,1.13342,2.2303,0.88324,0.00721,1,0.03685,0.01329,0.63412,3.2681,0.82959,5.43742e-05,5.43742e-05,5.43742e-05
49,19.4519,1.05163,2.04679,0.9233,0.00719,1,0.04001,0.01395,0.64066,3.23071,0.83233,3.96879e-05,3.96879e-05,3.96879e-05
50,19.7186,0.91185,2.21231,0.84458,0.00719,1,0.04001,0.01395,0.64066,3.23071,0.83233,2.43415e-05,2.43415e-05,2.43415e-05
