epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.561,2.63694,4.98298,1.91918,0,0,0,0,4.92883,5.2692,4.00104,0,0,0
2,2.188,1.57066,4.64119,1.38212,0,0,0,0,4.89778,5.39047,3.94456,1.63399e-05,1.63399e-05,1.63399e-05
3,2.618,1.7517,4.32545,1.4399,0,0,0,0,4.84003,5.47305,3.86702,3.20197e-05,3.20197e-05,3.20197e-05
4,2.989,2.28598,4.75088,1.73735,0,0,0,0,4.6777,5.20262,3.56083,4.70394e-05,4.70394e-05,4.70394e-05
5,3.248,2.40109,5.0803,1.71037,0,0,0,0,4.60689,5.23733,3.4159,6.13989e-05,6.13989e-05,6.13989e-05
6,3.56724,1.61042,4.53546,1.40176,0,0,0,0,4.359,5.34678,3.5059,7.50984e-05,7.50984e-05,7.50984e-05
7,3.87711,2.25031,4.79119,1.93077,0.00156,0.33333,0.00114,0.00011,3.89792,4.49378,2.73639,8.81376e-05,8.81376e-05,8.81376e-05
8,4.21457,2.13288,6.05376,1.6707,0,0,0,0,3.75111,4.50192,2.57441,0.000100517,0.000100517,0.000100517
9,4.50457,2.82867,5.40653,2.31662,0.00464,1,0.00622,0.00132,3.12048,3.92406,2.04768,0.000112236,0.000112236,0.000112236
10,4.82058,2.37296,4.50164,1.88789,0.00465,1,0.00891,0.00283,2.83755,3.75841,1.91017,0.000123295,0.000123295,0.000123295
11,5.15458,2.02313,4.47951,1.55905,0.00464,1,0.01135,0.00472,2.61783,3.74461,1.76487,0.000133693,0.000133693,0.000133693
12,5.45911,1.97016,4.17899,1.59226,0.00466,1,0.01244,0.00641,2.22716,3.7018,1.50365,0.000143432,0.000143432,0.000143432
13,5.76012,1.70656,3.62906,1.39683,0.00478,1,0.01239,0.007,1.83706,3.65618,1.3127,0.00015251,0.00015251,0.00015251
14,6.07999,1.54816,4.15513,1.43342,0.00484,1,0.01228,0.00797,1.55948,3.6011,1.19624,0.000160929,0.000160929,0.000160929
15,6.38115,1.36068,4.15946,1.41488,0.00489,1,0.01244,0.00871,1.42298,3.55523,1.13512,0.000168687,0.000168687,0.000168687
16,6.68714,1.67479,3.70418,1.33821,0.00488,1,0.01218,0.00913,1.2912,3.50345,1.0975,0.000175785,0.000175785,0.000175785
17,7.06488,1.47946,3.2315,1.23979,0.00498,1,0.01199,0.00858,1.24242,3.48457,1.08146,0.000182223,0.000182223,0.000182223
18,7.49588,1.27078,3.10914,1.13418,0.00498,1,0.01199,0.00858,1.24242,3.48457,1.08146,0.000188001,0.000188001,0.000188001
19,7.81688,1.5494,2.75825,1.23762,0.00502,1,0.01213,0.00906,1.18153,3.41945,1.06573,0.000193119,0.000193119,0.000193119
20,8.11988,1.26387,2.52117,1.1571,0.00502,1,0.01213,0.00906,1.18153,3.41945,1.06573,0.000197576,0.000197576,0.000197576
21,8.43481,1.36248,2.8002,1.21465,0.00513,1,0.01175,0.00881,1.01871,3.3736,1.03331,0.000201374,0.000201374,0.000201374
22,8.74221,1.27115,2.13729,1.10008,0.00513,1,0.01175,0.00881,1.01871,3.3736,1.03331,0.000204511,0.000204511,0.000204511
23,9.0742,1.20667,1.95764,1.07828,0.00524,1,0.01157,0.00926,0.94823,3.31581,1.00778,0.000206988,0.000206988,0.000206988
24,9.3952,1.47727,2.95797,1.35533,0.00524,1,0.01157,0.00926,0.94823,3.31581,1.00778,0.000208805,0.000208805,0.000208805
25,9.70787,1.17344,1.77086,1.1251,0.00532,1,0.01131,0.00923,1.01605,3.26517,1.01363,0.000209962,0.000209962,0.000209962
