epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,10.0149,1.33607,2.10822,1.12402,0.00532,1,0.01131,0.00923,1.01605,3.26517,1.01363,0.000210459,0.000210459,0.000210459
27,10.3241,1.3739,2.13365,1.09249,0.0054,1,0.01097,0.00768,1.19205,3.2095,1.09039,0.000210295,0.000210295,0.000210295
28,10.6521,1.48771,2.32067,1.28778,0.0054,1,0.01097,0.00768,1.19205,3.2095,1.09039,0.000209472,0.000209472,0.000209472
29,10.9967,1.56378,2.2495,1.34788,0.00546,1,0.01074,0.00662,1.21274,3.26246,1.13527,0.000207988,0.000207988,0.000207988
30,11.2967,1.2418,2.41653,1.11238,0.00546,1,0.01074,0.00662,1.21274,3.26246,1.13527,0.000205844,0.000205844,0.000205844
31,11.6603,1.16492,2.14205,1.11912,0.00557,1,0.01033,0.00569,1.04214,3.47916,1.14683,0.000203041,0.000203041,0.000203041
32,12.0464,1.19625,2.48116,1.09927,0.00557,1,0.01033,0.00569,1.04214,3.47916,1.14683,0.000199577,0.000199577,0.000199577
33,12.4924,1.156,2.30656,1.13094,0.00558,1,0.01824,0.00588,1.02779,3.56726,1.12668,0.000195452,0.000195452,0.000195452
34,12.7964,1.0949,1.74689,1.08819,0.00558,1,0.01824,0.00588,1.02779,3.56726,1.12668,0.000190668,0.000190668,0.000190668
35,13.1554,1.33056,1.97637,1.15031,0.0056,1,0.03416,0.00734,1.01579,3.59191,1.12,0.000185224,0.000185224,0.000185224
36,13.4894,1.45197,2.0842,1.20062,0.0056,1,0.03416,0.00734,1.01579,3.59191,1.12,0.000179119,0.000179119,0.000179119
37,13.8424,1.36225,2.11611,1.12793,0.00555,1,0.05311,0.01459,1.07852,3.42958,1.11038,0.000172354,0.000172354,0.000172354
38,14.1454,1.36235,2.10811,1.20253,0.00555,1,0.05311,0.01459,1.07852,3.42958,1.11038,0.00016493,0.00016493,0.00016493
39,14.4804,1.16608,1.70697,1.07425,0.00552,1,0.07068,0.01689,1.0996,3.2829,1.09605,0.000156845,0.000156845,0.000156845
40,14.7923,1.09746,1.77159,1.03696,0.00552,1,0.07068,0.01689,1.0996,3.2829,1.09605,0.0001481,0.0001481,0.0001481
41,19.268,1.01482,2.49704,1.00015,0.00557,1,0.995,0.69712,1.092,3.16662,1.08077,0.000138694,0.000138694,0.000138694
42,19.6658,0.92092,2.45015,1.06321,0.00557,1,0.995,0.69712,1.092,3.16662,1.08077,0.000128629,0.000128629,0.000128629
43,20.0334,0.92493,2.10708,0.95114,0.00564,1,0.995,0.69713,1.0297,3.13048,1.06647,0.000117904,0.000117904,0.000117904
44,20.3522,1.01373,2.28699,1.07713,0.00564,1,0.995,0.69713,1.0297,3.13048,1.06647,0.000106518,0.000106518,0.000106518
45,20.6804,1.00966,2.3202,0.97473,0.00559,1,0.995,0.73013,0.99488,3.07384,1.05496,9.44722e-05,9.44722e-05,9.44722e-05
46,21.1014,1.08613,2.39369,1.02823,0.00559,1,0.995,0.73013,0.99488,3.07384,1.05496,8.17663e-05,8.17663e-05,8.17663e-05
47,21.4408,1.10646,2.25011,1.09352,0.00557,1,0.995,0.76369,0.99656,3.03403,1.0501,6.84003e-05,6.84003e-05,6.84003e-05
48,21.8339,1.04611,2.34232,0.91766,0.00557,1,0.995,0.76369,0.99656,3.03403,1.0501,5.43742e-05,5.43742e-05,5.43742e-05
49,22.1471,0.97451,2.3931,1.05639,0.00561,1,0.995,0.73013,1.01193,2.99697,1.05118,3.96879e-05,3.96879e-05,3.96879e-05
50,22.4856,0.92352,2.16334,0.9499,0.00561,1,0.995,0.73013,1.01193,2.99697,1.05118,2.43415e-05,2.43415e-05,2.43415e-05
